ProductID,SellerID,Date,TotalSales,SalesLast7Days,SalesPrevious7Days,SalesLast30Days,SalesGrowthRate,Revenue,AvgDailySales,Price,CategoryID,CategoryName,CurrentStock,ProductAgeDays,Month,Week,DayOfWeek,DaysSinceLastSale,TargetNext7Days
2943,92,2025-07-07,5,5,0,5,0.0,115215.0,5.0,23043.0,14,Jewellery,100,-365,7,28,0,0,0
2943,92,2025-07-14,5,5,0,5,0.0,115215.0,0.62,23043.0,14,Jewellery,100,-358,7,29,0,7,0
2943,92,2025-07-21,5,0,5,5,-1.0,115215.0,0.33,23043.0,14,Jewellery,100,-351,7,30,0,14,0
2943,92,2025-07-28,5,0,0,5,0.0,115215.0,0.23,23043.0,14,Jewellery,100,-344,7,31,0,21,0
2943,92,2025-08-04,5,0,0,5,0.0,115215.0,0.17,23043.0,14,Jewellery,100,-337,8,32,0,28,0
2943,92,2025-08-11,5,0,0,0,0.0,115215.0,0.14,23043.0,14,Jewellery,100,-330,8,33,0,35,0
2943,92,2025-08-18,5,0,0,0,0.0,115215.0,0.12,23043.0,14,Jewellery,100,-323,8,34,0,42,2
2943,92,2025-08-25,7,2,0,2,0.0,161301.0,0.14,23043.0,14,Jewellery,100,-316,8,35,0,5,0
2943,92,2025-09-01,7,0,2,2,-1.0,161301.0,0.12,23043.0,14,Jewellery,100,-309,9,36,0,12,0
2943,92,2025-09-08,7,0,0,2,0.0,161301.0,0.11,23043.0,14,Jewellery,100,-302,9,37,0,19,0
2943,92,2025-09-15,7,0,0,2,0.0,161301.0,0.1,23043.0,14,Jewellery,100,-295,9,38,0,26,0
2943,92,2025-09-22,7,0,0,0,0.0,161301.0,0.09,23043.0,14,Jewellery,100,-288,9,39,0,33,0
2943,92,2025-09-29,7,0,0,0,0.0,161301.0,0.08,23043.0,14,Jewellery,100,-281,9,40,0,40,0
2943,92,2025-10-06,7,0,0,0,0.0,161301.0,0.08,23043.0,14,Jewellery,100,-274,10,41,0,47,0
2943,92,2025-10-13,7,0,0,0,0.0,161301.0,0.07,23043.0,14,Jewellery,100,-267,10,42,0,54,0
2943,92,2025-10-20,7,0,0,0,0.0,161301.0,0.07,23043.0,14,Jewellery,100,-260,10,43,0,61,0
2943,92,2025-10-27,7,0,0,0,0.0,161301.0,0.06,23043.0,14,Jewellery,100,-253,10,44,0,68,2
2943,92,2025-11-03,9,2,0,2,0.0,207387.0,0.07,23043.0,14,Jewellery,100,-246,11,45,0,5,0
2943,92,2025-11-10,9,0,2,2,-1.0,207387.0,0.07,23043.0,14,Jewellery,100,-239,11,46,0,12,0
2943,92,2025-11-17,9,0,0,2,0.0,207387.0,0.07,23043.0,14,Jewellery,100,-232,11,47,0,19,5
2943,92,2025-11-24,14,5,0,7,0.0,322602.0,0.1,23043.0,14,Jewellery,100,-225,11,48,0,0,0
2943,92,2025-12-01,14,3,2,5,0.5,322602.0,0.09,23043.0,14,Jewellery,100,-218,12,49,0,7,2
2943,92,2025-12-08,16,2,3,7,-0.333,368688.0,0.1,23043.0,14,Jewellery,100,-211,12,50,0,2,0
2943,92,2025-12-15,16,0,2,7,-1.0,368688.0,0.1,23043.0,14,Jewellery,100,-204,12,51,0,9,0
2943,92,2025-12-22,16,0,0,7,0.0,368688.0,0.09,23043.0,14,Jewellery,100,-197,12,52,0,16,3
2943,92,2025-12-29,19,3,0,5,0.0,437817.0,0.11,23043.0,14,Jewellery,100,-190,12,1,0,1,0
2943,92,2026-01-05,19,0,3,5,-1.0,437817.0,0.1,23043.0,14,Jewellery,100,-183,1,2,0,8,0
2943,92,2026-01-12,19,0,0,3,0.0,437817.0,0.1,23043.0,14,Jewellery,100,-176,1,3,0,15,4
2943,92,2026-01-19,23,4,0,7,0.0,529989.0,0.12,23043.0,14,Jewellery,100,-169,1,4,0,0,2
2943,92,2026-01-26,25,3,3,9,0.0,576075.0,0.12,23043.0,14,Jewellery,100,-162,1,5,0,3,0
2943,92,2026-02-02,25,0,3,6,-1.0,576075.0,0.12,23043.0,14,Jewellery,100,-155,2,6,0,10,2
2943,92,2026-02-09,27,2,0,8,0.0,622161.0,0.12,23043.0,14,Jewellery,100,-148,2,7,0,5,2
2943,92,2026-02-16,29,2,2,7,0.0,668247.0,0.13,23043.0,14,Jewellery,100,-141,2,8,0,0,0
2943,92,2026-02-23,29,1,1,4,0.0,668247.0,0.12,23043.0,14,Jewellery,100,-134,2,9,0,7,0
2943,92,2026-03-02,29,0,1,4,-1.0,668247.0,0.12,23043.0,14,Jewellery,100,-127,3,10,0,14,0
2943,92,2026-03-09,29,0,0,2,0.0,668247.0,0.12,23043.0,14,Jewellery,100,-120,3,11,0,21,5
2943,92,2026-03-16,34,5,0,6,0.0,783462.0,0.13,23043.0,14,Jewellery,100,-113,3,12,0,4,4
2943,92,2026-03-23,38,4,5,9,-0.2,875634.0,0.15,23043.0,14,Jewellery,100,-106,3,13,0,5,5
2943,92,2026-03-30,43,5,4,14,0.25,990849.0,0.16,23043.0,14,Jewellery,100,-99,3,14,0,1,4
2943,92,2026-04-06,47,4,5,18,-0.2,1083021.0,0.17,23043.0,14,Jewellery,100,-92,4,15,0,6,0
2943,92,2026-04-13,47,0,4,13,-1.0,1083021.0,0.17,23043.0,14,Jewellery,100,-85,4,16,0,13,2
2943,92,2026-04-20,49,2,0,11,0.0,1129107.0,0.17,23043.0,14,Jewellery,100,-78,4,17,0,1,0
2943,92,2026-04-27,49,0,2,11,-1.0,1129107.0,0.17,23043.0,14,Jewellery,100,-71,4,18,0,8,0
2943,92,2026-05-04,49,0,0,2,0.0,1129107.0,0.16,23043.0,14,Jewellery,100,-64,5,19,0,15,0
2943,92,2026-05-11,49,0,0,2,0.0,1129107.0,0.16,23043.0,14,Jewellery,100,-57,5,20,0,22,0
2943,92,2026-05-18,49,0,0,2,0.0,1129107.0,0.16,23043.0,14,Jewellery,100,-50,5,21,0,29,1
2943,92,2026-05-25,50,1,0,1,0.0,1152150.0,0.15,23043.0,14,Jewellery,100,-43,5,22,0,0,0
2943,92,2026-06-01,50,1,0,1,0.0,1152150.0,0.15,23043.0,14,Jewellery,100,-36,6,23,0,7,0
2943,92,2026-06-08,50,0,1,1,-1.0,1152150.0,0.15,23043.0,14,Jewellery,100,-29,6,24,0,14,5
2943,92,2026-06-15,55,5,0,6,0.0,1267365.0,0.16,23043.0,14,Jewellery,100,-22,6,25,0,0,0
2943,92,2026-06-22,55,5,0,6,0.0,1267365.0,0.16,23043.0,14,Jewellery,100,-15,6,26,0,7,0
2943,92,2026-06-29,55,0,5,5,-1.0,1267365.0,0.15,23043.0,14,Jewellery,100,-8,6,27,0,14,4
455,92,2025-07-07,2,2,0,2,0.0,5998.0,2.0,2999.0,1,Clothing,184,-365,7,28,0,0,0
455,92,2025-07-14,2,2,0,2,0.0,5998.0,0.25,2999.0,1,Clothing,184,-358,7,29,0,7,0
455,92,2025-07-21,2,0,2,2,-1.0,5998.0,0.13,2999.0,1,Clothing,184,-351,7,30,0,14,0
455,92,2025-07-28,2,0,0,2,0.0,5998.0,0.09,2999.0,1,Clothing,184,-344,7,31,0,21,0
455,92,2025-08-04,2,0,0,2,0.0,5998.0,0.07,2999.0,1,Clothing,184,-337,8,32,0,28,0
455,92,2025-08-11,2,0,0,0,0.0,5998.0,0.06,2999.0,1,Clothing,184,-330,8,33,0,35,0
455,92,2025-08-18,2,0,0,0,0.0,5998.0,0.05,2999.0,1,Clothing,184,-323,8,34,0,42,2
455,92,2025-08-25,4,2,0,2,0.0,11996.0,0.08,2999.0,1,Clothing,184,-316,8,35,0,5,0
455,92,2025-09-01,4,0,2,2,-1.0,11996.0,0.07,2999.0,1,Clothing,184,-309,9,36,0,12,0
455,92,2025-09-08,4,0,0,2,0.0,11996.0,0.06,2999.0,1,Clothing,184,-302,9,37,0,19,0
455,92,2025-09-15,4,0,0,2,0.0,11996.0,0.06,2999.0,1,Clothing,184,-295,9,38,0,26,0
455,92,2025-09-22,4,0,0,0,0.0,11996.0,0.05,2999.0,1,Clothing,184,-288,9,39,0,33,0
455,92,2025-09-29,4,0,0,0,0.0,11996.0,0.05,2999.0,1,Clothing,184,-281,9,40,0,40,0
455,92,2025-10-06,4,0,0,0,0.0,11996.0,0.04,2999.0,1,Clothing,184,-274,10,41,0,47,0
455,92,2025-10-13,4,0,0,0,0.0,11996.0,0.04,2999.0,1,Clothing,184,-267,10,42,0,54,0
455,92,2025-10-20,4,0,0,0,0.0,11996.0,0.04,2999.0,1,Clothing,184,-260,10,43,0,61,0
455,92,2025-10-27,4,0,0,0,0.0,11996.0,0.04,2999.0,1,Clothing,184,-253,10,44,0,68,4
455,92,2025-11-03,8,4,0,4,0.0,23992.0,0.07,2999.0,1,Clothing,184,-246,11,45,0,5,0
455,92,2025-11-10,8,0,4,4,-1.0,23992.0,0.06,2999.0,1,Clothing,184,-239,11,46,0,12,1
455,92,2025-11-17,9,1,0,5,0.0,26991.0,0.07,2999.0,1,Clothing,184,-232,11,47,0,0,2
455,92,2025-11-24,11,3,0,7,0.0,32989.0,0.08,2999.0,1,Clothing,184,-225,11,48,0,2,0
455,92,2025-12-01,11,0,3,3,-1.0,32989.0,0.07,2999.0,1,Clothing,184,-218,12,49,0,9,0
455,92,2025-12-08,11,0,0,3,0.0,32989.0,0.07,2999.0,1,Clothing,184,-211,12,50,0,16,0
455,92,2025-12-15,11,0,0,3,0.0,32989.0,0.07,2999.0,1,Clothing,184,-204,12,51,0,23,0
455,92,2025-12-22,11,0,0,2,0.0,32989.0,0.07,2999.0,1,Clothing,184,-197,12,52,0,30,0
455,92,2025-12-29,11,0,0,0,0.0,32989.0,0.06,2999.0,1,Clothing,184,-190,12,1,0,37,0
455,92,2026-01-05,11,0,0,0,0.0,32989.0,0.06,2999.0,1,Clothing,184,-183,1,2,0,44,0
455,92,2026-01-12,11,0,0,0,0.0,32989.0,0.06,2999.0,1,Clothing,184,-176,1,3,0,51,8
455,92,2026-01-19,19,8,0,8,0.0,56981.0,0.1,2999.0,1,Clothing,184,-169,1,4,0,0,0
455,92,2026-01-26,19,5,3,8,0.667,56981.0,0.09,2999.0,1,Clothing,184,-162,1,5,0,7,0
455,92,2026-02-02,19,0,5,8,-1.0,56981.0,0.09,2999.0,1,Clothing,184,-155,2,6,0,14,3
455,92,2026-02-09,22,3,0,11,0.0,65978.0,0.1,2999.0,1,Clothing,184,-148,2,7,0,5,3
455,92,2026-02-16,25,3,3,11,0.0,74975.0,0.11,2999.0,1,Clothing,184,-141,2,8,0,3,0
455,92,2026-02-23,25,0,3,6,-1.0,74975.0,0.11,2999.0,1,Clothing,184,-134,2,9,0,10,0
455,92,2026-03-02,25,0,0,6,0.0,74975.0,0.1,2999.0,1,Clothing,184,-127,3,10,0,17,2
455,92,2026-03-09,27,2,0,5,0.0,80973.0,0.11,2999.0,1,Clothing,184,-120,3,11,0,3,5
455,92,2026-03-16,32,5,2,7,1.5,95968.0,0.13,2999.0,1,Clothing,184,-113,3,12,0,5,0
